CTRL_SECT_,ROUTE_KEY,AADT_CS,WEATHER_REI,CONSEQ_LITE,REDUND_LITE,NETRISK_LITE,EVENT_REI,RESI_EVENT,REI_Q5
577382,SH_71_,14873.000000000002,0.9754910262760862,0.6685262183862178,0.0,0.8011157310317307,0.9144596729405619,0.08554032705943815,Very High
1571,SH_62_,5426.745430685999,0.9766962012785377,0.5871998666069356,0.0,0.7523199199641614,0.898164502818506,0.10183549718149398,Very High
541480,RM_1431_,14534.757081228678,0.945132832683975,0.6666704745533725,0.0,0.8000022847320235,0.8943371409007919,0.10566285909920814,Very High
4321,SH_16_,1440.691573269047,1.0,0.48025029229290034,0.0,0.6881501753757402,0.890852561381509,0.10914743861849097,Very High
2270,SH_204_,1198.1423345673215,1.0,0.46538935852660906,0.0,0.6792336151159655,0.887731765290588,0.11226823470941205,Very High
928,SH_29_,32285.98477323235,0.9505246579751815,0.9310522740680253,0.5516814852140491,0.7379587703551955,0.8761265973081864,0.12387340269181357,Very High
534985,SH_35_,9251.0,0.9273150794234034,0.6302243969838199,0.0,0.778134638190292,0.8751019249918144,0.12489807500818562,Very High
554616,SH_195_,24458.86891419769,0.9505246579751815,0.8086548192068511,0.3990462568542861,0.7255743887823962,0.8717920637577066,0.12820793624229343,Very High
625920,SH_105_,11667.812800605574,0.9136888056527668,0.6489471305259424,0.0,0.7893682783155656,0.8701766210847464,0.12982337891525364,Very High
541475,RM_1431_,5932.7931828509845,0.9754910262760862,0.6943911001037739,0.37899018818148056,0.6650385847896721,0.8668326717558412,0.13316732824415878,Very High
554699,SH_195_,22602.289564971918,0.9505246579751815,0.8022865783517774,0.450411034088376,0.7012075333757161,0.8632636643653686,0.1367363356346314,Very High
554610,SH_195_,26175.598569353147,0.9505246579751815,0.8141270774832907,0.48061850570141407,0.6962288442094088,0.861521123157161,0.138478876842839,Very High
630108,US_59_,8509.251949414322,0.9048299641498432,0.6234826471761468,0.0,0.7740895883056881,0.8590708326043889,0.14092916739561112,Very High
534989,SH_35_,11252.20076253674,0.9273150794234034,0.8460213310879576,0.48753796680913636,0.71259761192912,0.8521639658004042,0.1478360341995958,Very High
554698,SH_195_,24373.589557045274,0.9505246579751815,0.9083730590479651,0.6905785905218272,0.6687923992200481,0.8519183674108848,0.14808163258911522,Very High
534984,SH_35_,15668.403477651858,0.9273150794234034,0.7727289326203183,0.397946870652119,0.7044586113113434,0.8493153155841824,0.15068468441581762,Very High
534974,SH_35_,11641.146490073717,0.9273150794234034,0.8487625590538712,0.5195433961105422,0.7014401769881058,0.8482588635710493,0.1517411364289507,Very High
577383,SH_71_,18118.579213781693,0.9754910262760862,0.6844494470457205,0.5021524776671009,0.609808677160592,0.8475022040856632,0.15249779591433676,Very High
541477,RM_1431_,3945.28595172782,0.9754910262760862,0.6614852297705796,0.47145719733970626,0.6083082589264652,0.8469770577037189,0.1530229422962811,Very High
2779,FM_105_,6014.568920506951,1.0,0.5954953010853149,0.49099583293988863,0.5608988474752334,0.8463145966163317,0.15368540338366832,Very High
1967,SH_87_,3953.766958162782,0.9048299641498432,0.5616584203199125,0.0,0.7369950521919475,0.8460877449645796,0.1539122550354204,Very High
1488,SH_87_,19570.86887120237,0.9048299641498432,0.8906693997670083,0.5036356694853082,0.7329473720660816,0.8446710569205267,0.15532894307947331,Very High
549688,BS_288_B,9694.418455902873,0.9241251283553746,0.8340010285837123,0.5314698257292118,0.6878126868585426,0.8414157738314834,0.15858422616851664,Very High
554700,SH_195_,22729.872716645983,0.9505246579751815,0.7027406563698657,0.4577891468023946,0.6385287351009616,0.8413260849692045,0.15867391503079553,Very High
1459,SH_29_,19466.95290619225,0.9505246579751815,0.6902399255717213,0.4425529286062685,0.6371227839005253,0.8408340020490518,0.1591659979509482,Very High
541476,RM_1431_,11872.8488445565,0.9754910262760862,0.6503523599461947,0.5114904325262017,0.5856152429572361,0.8390345021144887,0.1609654978855113,Very High
10019,FM_1013_,1051.2893796644987,0.9808153274245517,0.5548502821966412,0.3978035074313251,0.5737887663454547,0.8383560310468678,0.16164396895313216,Very High
554612,SH_195_,22751.248126809172,0.9505246579751815,0.7028164837118835,0.483518539769685,0.6282824743192561,0.8377398936956075,0.16226010630439247,Very High
6119,FM_9_,1228.7322814425638,0.9754910262760862,0.5674215198922712,0.3967039089678335,0.5817713483482293,0.8376891390013363,0.16231086099866365,Very High
9137,SH_326_,3865.14049389806,1.0,0.5598299560929727,0.4992028513092286,0.5362168331320922,0.8376758915962323,0.16232410840376765,Very High
580818,FM_1460_,16455.117999290895,0.9505246579751815,0.7766809188161751,0.6001757807762964,0.6259382389791865,0.8369194113265832,0.1630805886734168,Very High
534987,SH_35_,10026.752347939813,0.9273150794234034,0.8367199747252572,0.5840435991231302,0.6684145451859023,0.836699892440278,0.16330010755972202,Very High
626763,US_183_,43294.88056428565,0.8582572086700362,0.9547213763071962,0.4552545504131258,0.7907310056190674,0.834623037602197,0.16537696239780297,Very High
541474,RM_1431_,15878.122849910455,0.9754910262760862,0.673801507123803,0.5800675113617377,0.5722538997295867,0.8343580319848114,0.1656419680151886,Very High
635938,US_281_,20419.884727963068,0.9754910262760862,0.6940951945986877,0.6108916700531973,0.5721004487379338,0.8343043241377328,0.1656956758622672,Very High
635936,US_281_,15962.641933885323,1.0,0.6742297662562227,0.69596796055589,0.5261506755313776,0.8341527364359822,0.1658472635640178,Very High
555654,SH_138_,7913.42919919735,0.9505246579751815,0.7176270344349085,0.5314399880819578,0.618000225428162,0.8341411065837246,0.16585889341627535,Very High
581843,IH_10_,16617.815271661577,0.8489207276398774,0.6774746005741492,0.0,0.8064847603444896,0.8340681390864917,0.1659318609135083,Very High
647401,US_87_,4481.0,0.8819604693688478,0.571754539636003,0.0,0.7430527237816018,0.8333427584133117,0.16665724158668827,Very High
558616,US_69_,5632.320966069114,1.0,0.7901989327448091,0.8796368122781384,0.5222646347356301,0.8327926221574705,0.16720737784252948,Very High
554605,BS_195_H,7553.610476490235,0.9505246579751815,0.8138733276229655,0.6867580962916154,0.6136207580571331,0.8326082930038645,0.16739170699613548,Very High
3097,FM_93_,9957.608793642892,0.920176950727496,0.8361617856879096,0.5802019456006777,0.6696162931724746,0.8324807205832385,0.16751927941676148,Very High
4877,FM_408_,3647.0086521611297,1.0,0.5551448126182901,0.5312964366662916,0.5205683129044574,0.8321989095165601,0.16780109048343994,Very High
554613,SH_195_,37346.185975577726,0.9505246579751815,0.7427978195523599,0.5846974507259773,0.611799711441025,0.8319709266882267,0.1680290733117733,Very High
515474,FM_2657_,2600.716578882057,0.9505246579751815,0.6278763190579497,0.41557857420957367,0.6104943617509404,0.8315140542966971,0.1684859457033029,Very High
626758,US_183_,12506.322183196598,0.9505246579751815,0.8545454398191772,0.7659116659037879,0.6063625975299911,0.8300679368193649,0.16993206318063514,Very High
5706,FM_1078_,3248.741296897797,1.0,0.5458184526520296,0.5339116074045461,0.5139264286293993,0.8298742500202898,0.1701257499797102,Very High
534986,SH_35_,15431.715552562475,0.9271871083463151,0.8715010521057434,0.6934359622116621,0.6455262463787812,0.8286058066576782,0.17139419334232175,Very High
1924,FM_1663_,7387.25581130481,1.0,0.6120770203955256,0.6521877277999396,0.5063711211173395,0.8272298923910688,0.1727701076089312,Very High
583587,IH_69_,33602.49068696268,0.9048299641498432,0.7342764562577331,0.39666630968508565,0.6818993498806056,0.82680424915561,0.17319575084438998,Very High
9734,RM_2147_,11216.258164314608,0.9754910262760862,0.5457632480296157,0.4605299344979211,0.543245975018601,0.8242052583359664,0.17579474166403364,Very High
4618,FM_699_,504.7571948175842,1.0,0.4957433967973447,0.49943732236852617,0.4976711091309963,0.8241848881958487,0.17581511180415133,Very High
9156,SH_73_,28058.434344356298,0.9048299641498432,0.7197305943556782,0.40610218678905097,0.6693974818977866,0.8224285953616234,0.17757140463837662,Very High
635933,US_281_,23455.38115359012,0.9754910262760862,0.7052753043360338,0.7129211363237238,0.5379967280721307,0.8223680219047018,0.17763197809529818,Very High
865,SH_36_,18657.220940227657,0.8804678876886649,0.8868126819923992,0.5469410263065624,0.7133111986728146,0.8219630465331174,0.17803695346688264,Very High
580021,FM_521_,3996.6751429071487,0.9205522846689425,0.6625289938150586,0.39806672712116176,0.6382907054405704,0.8217607319390123,0.17823926806098767,Very High
7534,FM_1442_,9635.28180095374,1.0,0.53350745755776,0.575044235678458,0.4900867802632728,0.8215303730921455,0.1784696269078545,Very High
534602,US_190_,2909.0,0.9048299641498432,0.4369102838712762,0.0,0.6621461703227658,0.8198906363103661,0.18010936368963393,Very High
3828,SH_173_,4713.143294568719,0.9754910262760862,0.6758283826466984,0.6900045959828638,0.5294951911948735,0.8193924839976617,0.18060751600233826,Very High
6564,FM_1970_,1309.3146784973278,0.9754910262760862,0.5725419424266633,0.5357071989933053,0.5292422858586758,0.8193039671299925,0.18069603287000746,Very High
1419,SH_29_,33397.39679024026,0.8586932243644895,0.9337825680508229,0.5357102548224876,0.7459854389014987,0.8192454994524427,0.18075450054755726,Very High
1612,US_69_,32256.75614857248,0.9048299641498432,0.8309792091084461,0.5975245628721154,0.6595777003162215,0.8189916718080756,0.18100832819192436,Very High
726,SH_36_,21307.1144015785,0.9005870641123244,0.8975262295780819,0.6820061416875106,0.6657132810718449,0.8183812400481565,0.1816187599518435,Very High
548267,FM_437_,865.092539661219,0.9505246579751815,0.5391405713274552,0.37697032735713776,0.572696211853618,0.8182847018326342,0.18171529816736576,Very High
647400,US_87_,4480.999999999999,0.8586932243644895,0.571754539636003,0.0,0.7430527237816018,0.8182190491604788,0.18178095083952117,Very High
2169,SH_204_,1287.8717499890417,1.0,0.4712108196328694,0.5054569476522466,0.480543712718823,0.818190299451588,0.18180970054841195,Very High
629057,US_183_,35908.42840951345,0.8366313316742199,0.6396307602893712,0.0,0.7837784561736227,0.8181328252490109,0.18186717475098912,Very High
920,BS_35_E,5289.53925612838,0.9273150794234034,0.7851343262140041,0.6415176744579162,0.614473525945236,0.8178205357060448,0.18217946429395515,Very High
581478,FM_1798_,427.6293843683328,0.9973335747886622,0.5823948100794034,0.6632349096909019,0.4841429221712813,0.8177168463725789,0.1822831536274211,Very High
472,SH_201_,18071.85865492523,0.9281414340371978,0.6842411649048387,0.4998600051643884,0.6106006968771478,0.8170021760311803,0.1829978239688197,Very High
515647,FM_1794_,603.3930586542078,0.9552051150389352,0.6101168598175624,0.5157770902746281,0.5597592797806862,0.8167990726985481,0.18320092730145188,Very High
580024,FM_521_,4779.365482555339,1.0,0.4769537638793183,0.5242325699438474,0.476479230350052,0.8167677306225183,0.18323226937748172,Very High
3556,FM_93_,12285.702777516222,0.9247813725822521,0.7531097198570428,0.5927263365451362,0.6147752972961712,0.8162792462321239,0.1837207537678761,Very High
519656,US_290_,8508.68438217009,0.9032927104705649,0.7234772666965039,0.4489351404898356,0.6545123038219681,0.816219568143556,0.183780431856444,Very High
626678,US_290_,8640.413399214749,1.0,0.624716518810498,0.7536991216190053,0.4733502626386967,0.8156725919235439,0.1843274080764561,Very High
534978,SH_35_,15981.103640896383,0.9273150794234034,0.7743230101657994,0.6407741611395809,0.6082841416436473,0.8156542512004887,0.18434574879951127,Very High
580819,FM_1460_,20815.63037906519,0.9273884754500294,0.695643649626972,0.5233921575691632,0.608029326748518,0.8156127734045004,0.18438722659549955,Very High
549512,US_271_,9546.832795659424,0.9101277904048614,0.8327635553104211,0.6500482543040124,0.6396388314646477,0.8154566547757867,0.18454334522421334,Very High
5654,FM_1013_,1374.5595266146515,0.9460497551231276,0.6764621368194839,0.5855583707523689,0.5716539337907427,0.815011217656793,0.18498878234320704,Very High
4891,RM_962_,886.3546088990037,1.0,0.441097142882054,0.4864074167826872,0.47009531901615753,0.8145333616556552,0.18546663834434485,Very High
1359,SH_36_,7792.188129041293,0.9273150794234034,0.816381632104914,0.7124716050299564,0.6048403372509659,0.8144489196630502,0.18555108033694978,Very High
7704,RM_2147_,5094.560622885021,0.9754910262760862,0.4821049922494124,0.4351827535823699,0.5151898939166994,0.8143856299503008,0.18561437004969916,Very High
536140,FM_439_,7932.654243329275,0.9372837190724655,0.7178227621875706,0.612659080514194,0.5856300251068647,0.8142049261845052,0.18579507381549476,Very High
7409,FM_2611_,1896.145433793681,1.0,0.40239788442674485,0.43415898657033236,0.467775136027914,0.8137212976097699,0.18627870239023014,Very High
534981,SH_35_,13481.243323733059,0.9710583157007984,0.8606007430974414,0.9927029407075811,0.5192792695754324,0.8129356495569202,0.18706435044307979,Very High
5942,FM_1406_,3755.1544856417468,1.0,0.5575016319941626,0.6775629265193978,0.4634758085887384,0.8122165330060584,0.18778346699394155,Very High
1428,SH_29_,15751.790439344923,0.9505246579751815,0.6731571105376273,0.6214715699307941,0.5553056383502587,0.8121980011064585,0.18780199889354154,Very High
4539,FM_1970_,1082.3192712754624,0.9754910262760862,0.5571947849770755,0.5654080992642437,0.5081536312805478,0.8119229380276478,0.1880770619723522,Very High
826,SH_73_,27182.376769094906,0.9048299641498432,0.7171716850732439,0.47976788160260725,0.6383958584029035,0.8115780271384143,0.18842197286158568,Very High
759,SH_87_,2727.0413782120786,0.9512983001742088,0.731701254202813,0.7202719773582354,0.5509119615783936,0.8111630816656735,0.18883691833432648,Very High
578703,IH_35_,69663.25744547677,0.9505246579751815,0.7930921663442501,0.8100583849822519,0.5518319458136492,0.8109822087186451,0.18901779128135487,Very High
538427,FM_2484_,11436.914341878768,0.9505246579751815,0.6473347830048202,0.5962258412513781,0.5499105333023409,0.8103097143396872,0.18969028566031276,Very High
8138,SH_149_,5771.533291852238,0.9660379907119194,0.5921683286862179,0.5856479739146255,0.5210418076458805,0.8102893266388058,0.18971067336119418,Very High
1477,SH_73_,26722.51406637603,0.9048299641498432,0.715795249021947,0.4878383585615982,0.634341805988529,0.8101591087933833,0.18984089120661674,Very High
555653,SH_138_,6446.938951095646,0.9505246579751815,0.7010948262491163,0.6796869899035631,0.5487820997880446,0.8099147626096835,0.19008523739031646,Very High
4924,BF_1431_J,1583.4675507199086,0.9754910262760862,0.4878684075783686,0.47794219398230253,0.5015441669541001,0.8096096255133911,0.1903903744866089,Very High
6816,FS_2484_,3231.907966428455,0.9505246579751815,0.5453994853783781,0.4504741344084088,0.5470500374636633,0.8093085407961501,0.1906914592038499,Very High
582008,IH_10_,25914.040551703525,0.9048299641498432,0.8133169278046622,0.6419066018591187,0.6312275159391498,0.8090691072761005,0.19093089272389951,Very High
779,SH_87_,2117.502672895715,0.9966746330880927,0.511300961779636,0.6197525877906362,0.45887954195152714,0.8084463511902947,0.19155364880970527,Very High
1314,FM_699_,968.98132839126,0.9754910262760862,0.4482796885141257,0.4317777621475156,0.49625670824946916,0.8077590149667703,0.19224098503322973,Very High
